threads,time
1,0.3038404
2,0.1599476
3,0.10690759999999999
4,0.0831
5,0.0816366
6,0.07445539999999999
8,0.0656812
16,0.0588758
24,0.0593452
32,0.059678999999999996
64,0.059294599999999996
128,0.06258699999999999
