threads,time
1,0.451255
2,0.7748352
3,0.799156
4,0.8739968000000001
5,1.4401532000000001
6,1.4944074
8,1.445455
16,1.4321822
24,1.4311712
32,1.4320398
64,1.4314638
128,1.4315453999999999
